epoch: 0	train ppl: 536.3763777180384	val ppl: 334.66606305350393	best val: 334.66606305350393	time (s) spent in epoch: 648.0648651123047
epoch: 1	train ppl: 299.18282062341905	val ppl: 228.94336921098508	best val: 228.94336921098508	time (s) spent in epoch: 648.5216143131256
epoch: 2	train ppl: 242.06631809741697	val ppl: 199.90734930195683	best val: 199.90734930195683	time (s) spent in epoch: 648.8043410778046
epoch: 3	train ppl: 208.35913992044672	val ppl: 176.7980040802833	best val: 176.7980040802833	time (s) spent in epoch: 648.8928034305573
epoch: 4	train ppl: 184.81237037997138	val ppl: 165.175500496537	best val: 165.175500496537	time (s) spent in epoch: 648.8042039871216
epoch: 5	train ppl: 167.21717968116383	val ppl: 157.00483316237512	best val: 157.00483316237512	time (s) spent in epoch: 648.9105734825134
epoch: 6	train ppl: 153.84143368937694	val ppl: 144.59353033170967	best val: 144.59353033170967	time (s) spent in epoch: 649.014398097992
epoch: 7	train ppl: 142.80226496642388	val ppl: 140.93630490690606	best val: 140.93630490690606	time (s) spent in epoch: 648.8460485935211
epoch: 8	train ppl: 133.24194064329885	val ppl: 133.65334086891704	best val: 133.65334086891704	time (s) spent in epoch: 648.8597311973572
epoch: 9	train ppl: 125.33472810034372	val ppl: 132.68869882348008	best val: 132.68869882348008	time (s) spent in epoch: 648.8186707496643
epoch: 10	train ppl: 118.46009532047836	val ppl: 126.69788676138539	best val: 126.69788676138539	time (s) spent in epoch: 648.8792610168457
epoch: 11	train ppl: 112.39954690784168	val ppl: 122.13056497316376	best val: 122.13056497316376	time (s) spent in epoch: 648.9684886932373
epoch: 12	train ppl: 106.97896832943098	val ppl: 129.24853322870595	best val: 122.13056497316376	time (s) spent in epoch: 649.0366399288177
epoch: 13	train ppl: 102.10548880800927	val ppl: 123.38220667713094	best val: 122.13056497316376	time (s) spent in epoch: 649.0252268314362
epoch: 14	train ppl: 97.7633004327052	val ppl: 117.51560155470975	best val: 117.51560155470975	time (s) spent in epoch: 652.1134159564972
epoch: 15	train ppl: 93.73218367116316	val ppl: 117.71210605492074	best val: 117.51560155470975	time (s) spent in epoch: 660.9197773933411
epoch: 16	train ppl: 89.86684953265087	val ppl: 115.56686691250961	best val: 115.56686691250961	time (s) spent in epoch: 660.1803998947144
epoch: 17	train ppl: 86.66384680459909	val ppl: 115.09780168720516	best val: 115.09780168720516	time (s) spent in epoch: 660.19171833992
epoch: 18	train ppl: 83.38318438857215	val ppl: 115.36770249530336	best val: 115.09780168720516	time (s) spent in epoch: 660.2517066001892
epoch: 19	train ppl: 80.62998788199235	val ppl: 115.98467004777507	best val: 115.09780168720516	time (s) spent in epoch: 660.4294586181641
epoch: 20	train ppl: 77.83125848936407	val ppl: 115.22979282527643	best val: 115.09780168720516	time (s) spent in epoch: 660.1383376121521
epoch: 21	train ppl: 75.47448211913924	val ppl: 113.89991538655434	best val: 113.89991538655434	time (s) spent in epoch: 660.2099149227142
epoch: 22	train ppl: 73.20462093011454	val ppl: 115.27415103221777	best val: 113.89991538655434	time (s) spent in epoch: 660.2488961219788
epoch: 23	train ppl: 70.86874420010938	val ppl: 114.15325307798395	best val: 113.89991538655434	time (s) spent in epoch: 660.0787496566772
epoch: 24	train ppl: 69.07740538459456	val ppl: 114.86388152355612	best val: 113.89991538655434	time (s) spent in epoch: 660.3008043766022
epoch: 25	train ppl: 67.16711158525838	val ppl: 114.86207251779928	best val: 113.89991538655434	time (s) spent in epoch: 657.6573538780212
epoch: 26	train ppl: 65.49257835948052	val ppl: 116.17135236683785	best val: 113.89991538655434	time (s) spent in epoch: 653.3736419677734
epoch: 27	train ppl: 63.71760464375681	val ppl: 117.41656453466342	best val: 113.89991538655434	time (s) spent in epoch: 653.8260533809662
epoch: 28	train ppl: 62.18051403606094	val ppl: 115.4208391758494	best val: 113.89991538655434	time (s) spent in epoch: 653.9568223953247
epoch: 29	train ppl: 60.76500860922812	val ppl: 116.34977720237416	best val: 113.89991538655434	time (s) spent in epoch: 654.174779176712
epoch: 30	train ppl: 59.534510313290305	val ppl: 117.73127931727691	best val: 113.89991538655434	time (s) spent in epoch: 652.8957724571228
epoch: 31	train ppl: 58.065987650368776	val ppl: 115.90364902578351	best val: 113.89991538655434	time (s) spent in epoch: 648.1573524475098
epoch: 32	train ppl: 56.97518116496776	val ppl: 117.15585376904167	best val: 113.89991538655434	time (s) spent in epoch: 649.7109310626984
epoch: 33	train ppl: 55.87202867658977	val ppl: 118.57414626345708	best val: 113.89991538655434	time (s) spent in epoch: 649.9237284660339
epoch: 34	train ppl: 54.75769292117292	val ppl: 118.69181112265846	best val: 113.89991538655434	time (s) spent in epoch: 649.834331035614
epoch: 35	train ppl: 53.6692064221124	val ppl: 118.51297170261003	best val: 113.89991538655434	time (s) spent in epoch: 649.9516036510468
epoch: 36	train ppl: 52.86272574842281	val ppl: 117.55240416188666	best val: 113.89991538655434	time (s) spent in epoch: 649.5165894031525
epoch: 37	train ppl: 51.86521610504697	val ppl: 120.11202247395927	best val: 113.89991538655434	time (s) spent in epoch: 646.0300095081329
epoch: 38	train ppl: 51.04823035569872	val ppl: 120.00379854346131	best val: 113.89991538655434	time (s) spent in epoch: 645.8179633617401
epoch: 39	train ppl: 50.222291064147555	val ppl: 119.96401495258532	best val: 113.89991538655434	time (s) spent in epoch: 646.2342402935028
